brand,country,policy
Quina,China,APPLICATION_ONLY
Radar,Singapore,APPLICATION_ONLY
Radial,China,APPLICATION_ONLY
Rapid,China,APPLICATION_ONLY
Road Pioneer,China,APPLICATION_ONLY
Roadboss,China,APPLICATION_ONLY
Roadcruza,China,APPLICATION_ONLY
Roadguider,China,APPLICATION_ONLY
Roadking,China,APPLICATION_ONLY
Roadmarch,China,APPLICATION_ONLY
Roadstone,South Korea,APPLICATION_ONLY
Roadtrek,China,APPLICATION_ONLY
Roadwing,China,APPLICATION_ONLY
RoadX,China,APPLICATION_ONLY
Rodaco,Brazil,APPLICATION_ONLY
Rosava,Ukraine,APPLICATION_ONLY
Rotalla,China,APPLICATION_ONLY
Rotarmax,China,APPLICATION_ONLY
Routeway,China,APPLICATION_ONLY
Rovelo,China,APPLICATION_ONLY
Royal,China,APPLICATION_ONLY
Royal Black,China,APPLICATION_ONLY
Rubb,China,APPLICATION_ONLY
Runway,China,APPLICATION_ONLY
RXMotion,China,APPLICATION_ONLY
Rydanz,China,APPLICATION_ONLY
Saferich,China,APPLICATION_ONLY
Sailun,China,APPLICATION_ONLY
Samson,China,APPLICATION_ONLY
Sapphire,China,APPLICATION_ONLY
Sentury,China,APPLICATION_ONLY
Speedmax,China,APPLICATION_ONLY
Speedway,China,APPLICATION_ONLY
Speedways,China,APPLICATION_ONLY
Starfire,United States,APPLICATION_ONLY
Steelmark,China,APPLICATION_ONLY
Sulfull,China,APPLICATION_ONLY
Sundwide,China,APPLICATION_ONLY
Sunfull,China,APPLICATION_ONLY
Sunitrac,China,APPLICATION_ONLY
Sunny,China,APPLICATION_ONLY
Sunset,China,APPLICATION_ONLY
Sunwide,China,APPLICATION_ONLY
Superia,Belgium,APPLICATION_ONLY
TBB,China,APPLICATION_ONLY
Technic,China,APPLICATION_ONLY
TenX,China,APPLICATION_ONLY
T-Force,China,APPLICATION_ONLY
Three-A,China,APPLICATION_ONLY
Titan Road,China,APPLICATION_ONLY
Tomket,Czech Republic,APPLICATION_ONLY
Tornado,China,APPLICATION_ONLY
Tornel,Mexico,APPLICATION_ONLY
Torque,United Kingdom,APPLICATION_ONLY
Total Trust,China,APPLICATION_ONLY
Tourador,China,APPLICATION_ONLY
Towin,China,APPLICATION_ONLY
Toyo,Japan,OEM_AND_APPLICATION
Tracmax,China,APPLICATION_ONLY
Transmate,China,APPLICATION_ONLY
Travia,China,APPLICATION_ONLY
Trazano,China,APPLICATION_ONLY
Triangle,China,APPLICATION_ONLY
TTF,China,APPLICATION_ONLY
Unigrip,China,APPLICATION_ONLY
Unisol,Brazil,APPLICATION_ONLY
Vancity,China,APPLICATION_ONLY
Viking,Germany,APPLICATION_ONLY
Vipal,Brazil,APPLICATION_ONLY
Viper,China,APPLICATION_ONLY
Vitality,China,APPLICATION_ONLY
Wanli,China,APPLICATION_ONLY
Waterfall,Turkey,APPLICATION_ONLY
Westlake,China,APPLICATION_ONLY
Windforce,China,APPLICATION_ONLY
Winrun,China,APPLICATION_ONLY
XBRI,Brazil,APPLICATION_ONLY
X-Privilo,China,APPLICATION_ONLY
Yatone,China,APPLICATION_ONLY
Yeada,China,APPLICATION_ONLY
Zeetex,United Arab Emirates,APPLICATION_ONLY
Zeta,China,APPLICATION_ONLY
Zetum,China,APPLICATION_ONLY
ZMAX,China,APPLICATION_ONLY
